,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,номер_3-го_сертификата,номер_4-го_сертификата,номер_5-го_сертификата,сертификат_на_тренера,статус_погашения,card_used_date,стоимость_закупки,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
400,9985725,Успешно_реализовано,12345.0,2020-08-01 17:37:52,2020-08-01 18:50:00,,,Универсальный_сертификат_-_1x12345_=_12345,12345.0,12345.0,12345,,W66966,,,,,,,,,,,,,,,,,,,,,,
407,10028367,Успешно_реализовано,7500.0,2020-08-03 14:44:48,2020-08-06 19:53:00,,,,,,7500,Вейксёрф_и_вейк_за_катером,WS21536,,,,,,,,,,,,,,,,,,,,,,
419,10075457,Успешно_реализовано,5350.0,2020-08-04 19:13:10,2020-08-06 19:52:00,,,Подарочный_сертификат_на_катер_без_капитана_(Выберите_сертификат:_1_час_проката:_5000_р._)_-_1x5000_=_5000,5350.0,5000.0,5350,Катер_без_капитана_(Летолодка),40LL1HP011569,,,,,,,,,,,,,,,,,,,,,,
432,10134955,Успешно_реализовано,12695.0,2020-08-06 15:08:48,2020-08-07 17:16:00,,,,,,12695,Универсальный_Мосвейк_12345,W42970,,,,,,,,,,,,,,,,,,,,,,
435,10147381,Успешно_реализовано,4400.0,2020-08-06 21:46:31,2020-08-08 15:35:00,,368,,,,4400,САП-сёрф,2SU2424096194,,,,,,,,,,,,,,,,,,,,,,
459,10293479,Успешно_реализовано,12345.0,2020-08-11 17:47:24,2020-08-12 20:21:00,,,,,,12345,Универсальный_Мосвейк_12345,24027,,,,,,,Погашен,2021-12-10,,,,,,,,,,,,,,
461,10298085,Успешно_реализовано,3900.0,2020-08-11 22:11:14,2020-08-19 20:25:00,,,,,,3900,Флайборд_/_Ховерборд_/_Ранец,HB67385,,,,,,,,,,,,,,,,,,,,,,
464,10312373,Успешно_реализовано,10788.0,2020-08-12 12:50:43,2020-08-19 20:25:00,,,"Подарочный_сертификатна_Вейкборд_за_катером_(Выберите_тип:_1_час_)_-_1x7500_=_7500;_
СЕРТИФИКАТ_НА_ФОТОСЕССИЮ_(Чтобы_запечатлеть_самые_искренние_эмоции)_-_1x2500_=_2500",10350.0,10000.0,10788,Вейксёрф_и_вейк_за_катером,WS37290,,PH028,,,,,,,,,,,,,,,,,,,,
466,10319353,Успешно_реализовано,4750.0,2020-08-12 14:28:34,2020-08-24 15:10:00,,,,,,4750,Флайборд_/_Ховерборд_/_Ранец,FJ45291,,,,,,,,,,,,,,,,,,,,,,
479,10391643,Успешно_реализовано,6550.0,2020-08-14 16:14:50,2020-08-19 20:25:00,,,,,,6550,Вейк-парк,WP651044,,TR1К_030229,,,,,,,,,,,,,,,,,,,,
522,10658475,Успешно_реализовано,4200.0,2020-08-22 22:28:34,2020-08-23 16:16:00,,,,,,4200,Вейк-парк,WP690646,,,,,,,Погашен,2021-12-10,,,,,,,,,,,,,,
542,10931047,Успешно_реализовано,4550.0,2020-08-28 20:34:27,2020-08-29 00:04:00,,350,,,,4550,Вейк-парк,WP636180,,,,,,,,,,,,,,,,,,,,,,
