,id,amo_id,amo_lead_id,prefix,code,card_type,design_type,status,supplier_payment_date,sale_price,sale_date,expiry_date,card_used_date,created_at,updated_at,deleted_at,number
2589,,,24543213,WS60,WS60_276011,paper,design1,sold_used,2023-08-27,9600.0,2023-06-14 10:56:00,,2023-08-27,,,,276011
2591,,,24543987,VEF30,VEF30_3257296,electronic,design1,,,6200.0,2023-12-06 18:16:00,,,,,,3257296
2610,,,25065921,VSG7,VSG7_3946270,electronic,design1,,,7000.0,2023-12-08 20:12:00,,,,,,3946270
2611,,,25291587,VSG7,VSG7_4171511,electronic,design1,,,7000.0,2023-12-09 14:12:00,,,,,,4171511
2626,,,23778849,TR1,TR1_212055,paper,design1,,,,2023-03-03 19:04:00,,,,,,212055
2629,,,24209199,TR2,TR2_221730,paper,design1,,,,2023-06-05 14:25:00,,,,,,221730
2630,,,24460403,TR2K,TR2K_032026,paper,design1,,,,2023-04-06 11:08:00,,,,,,032026
2632,,,23967057,WS20,WS20_151910,paper,design1,,,,2023-03-30 13:39:00,,,,,,151910
2633,,,24462079,TR2,TR2_153713,paper,design1,,,,2023-05-06 19:00:00,,,,,,153713
2634,,,24989577,WS20,WS20_152353,paper,design1,,,,2023-09-08 10:29:00,,,,,,152353
2637,,,25899441,TR,TR_262244,paper,design1,,,,2023-05-11 20:39:00,,,,,,262244
2638,,,24308797,WS60,WS60_210277,paper,design1,,,,2023-05-16 15:50:00,,,,,,210277
2639,,,24321529,TR2,TR2_153064,paper,design1,,,,2023-05-19 13:42:00,,,,,,153064
2641,,,24370199,TR2,TR2_153452,paper,design1,,,,2023-05-24 20:02:00,,,,,,153452
2642,,,24407599,TR1,TR1_210979,paper,design1,,,,2023-05-31 17:51:00,,,,,,210979
2644,,,24413747,TR2,TR2_153549,paper,design1,,,,2023-05-29 14:53:00,,,,,,153549
2647,,,24656289,TR1,TR1_213366,paper,design1,,,,2023-06-28 23:22:00,,,,,,213366
2648,,,24663991,TR1,TR1_213763-0,paper,design1,,,,2023-06-28 23:23:00,,,,,,213763-0
2657,,,24949815,TR1,TR1_153296,paper,design1,,,,2023-07-30 16:22:00,,,,,,153296
2659,,,25183973,TR,TR_261981,paper,design1,,,,2023-08-29 09:34:00,,,,,,261981
2661,,,24524175,TR1,TR1_220746,paper,design1,,,,2023-06-20 17:46:00,,,,,,220746
2662,,,24525169,TR1,TR1_220871,paper,design1,,,,2023-06-20 17:51:00,,,,,,220871
2665,,,26034025,TR2,TR2_262470,paper,design1,,,,2023-11-18 17:34:00,,,,,,262470
2666,,,26095709,TR2K,TR2K_030117,paper,design1,,,,2023-11-25 12:03:00,,,,,,030117
2668,,,23665131,TR1,TR1_211717,paper,design1,,,,2023-02-14 06:08:00,,,,,,211717
