,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,сертификат_на_фотографа,сертификат_на_тренера,статус_погашения,card_used_date,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
2554,20077943,Успешно_реализовано,3850.0,2023-12-01 04:11:27,2021-10-16 12:19:00,0.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3850,Параплан,P1232498,,,,,Погашен,2023-07-16,,,,,,,,,,,,,
2555,23454713,Успешно_реализовано,7000.0,2023-12-01 13:21:40,2023-01-13 16:44:00,,,"Полет_на_параплане_(Варианты:_Мини_курс_«Второй_пилот»,_Бумажный_или_электронный:_Бумажный)_-_1x7000_=_7000",7000.0,7000.0,7000,Параплан,P1P255683,,,,,Погашен,2023-06-06,,,,,,,,,,,,,
2558,23456591,Успешно_реализовано,10500.0,2023-12-01 17:38:01,2023-01-14 05:22:00,500.0,,Подарочный_сертификатв_вейк-парк_(Выберите_тип:_Целый_день_на_двоих_-_10_000_руб._)_-_1x10000_=_10000,10500.0,10000.0,10500,Вейк-парк,2WP89087,,,,,,,,,,,,,,,,,,,
2,23596587,Успешно_реализовано,4850.0,2023-01-02 16:02:03,2023-02-02 14:53:00,350.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",4850.0,4500.0,4850,Параплан,P1G_259395,,,,,Погашен,2023-09-09,,P1G,259395,P1G,paper,design1,sold_used,4500.0,,,,,2023-09-09
26,24445523,Успешно_реализовано,8450.0,2023-01-06 16:56:58,2023-02-06 19:37:00,450.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8450.0,8000.0,8450,Мото_Мотокросс,MT2_164020,,,,,Погашен,2023-08-16,,MT2,164020,MT2,paper,design1,sold_used,8000.0,,,,,2023-08-16
65,23462101,Успешно_реализовано,5450.0,2023-01-13 16:31:03,2023-01-14 15:40:00,450.0,,"Фридайвинг_(Варианты:_Индивидуальная_тренировка_для_одного,_Бумажный_или_электронный:_Бумажный)_-_1x5000_=_5000",5450.0,5000.0,5450,Фридайвинг,F1_272111,,,,,,,,F1,272111,F1,paper,design1,,5000.0,,,,,
100,23534385,Успешно_реализовано,5550.0,2023-01-24 09:11:49,2023-01-25 17:58:00,350.0,,"Катание_на_картинге_(Варианты:_40_минут_катания,_Бумажный_или_электронный:_Бумажный)_-_1x5200_=_5200",5550.0,5200.0,5550,Картинг,MT2_116043,,,,,Погашен,2023-05-13,,MT2,116043,MT2,paper,design1,sold_used,5200.0,,,,,2023-05-13
133,23586703,Успешно_реализовано,16450.0,2023-01-31 11:09:39,2023-01-31 17:52:00,450.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_2x8000_=_16000",16450.0,16000.0,16450,Мото_Мотокросс,MT2_184809,,,,,Погашен,2023-03-05,,MT2,184809,MT2,paper,design1,sold_used,8000.0,,,,,2023-03-05
134,23588587,Успешно_реализовано,0.0,2023-01-31 14:39:58,2023-01-31 14:40:00,,,,,,,Мото_Мотокросс,MT2_159461,#23586703,,,,Погашен,2023-03-05,,MT2,159461,MT2,paper,design1,sold_used,8000.0,,,,,2023-03-05
137,23400461,Успешно_реализовано,4500.0,2023-02-01 18:01:25,2023-02-01 18:10:00,,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором_с_воздушным_пилотажем,_Бумажный_или_электронный:_Бумажный)_-_1x4500_=_4500",4500.0,4500.0,4500,Параплан,P1G_251473,,,,,,,,P1G,251473,P1G,paper,design1,,4500.0,,,,,
